prov,importo,nvals
"AG",71.44483,946
"AL",33.29543,339
"AN",51.75819,530
"AO",12.1886,450
"AP",19.46314,417
"AQ",70.25987,525
"AR",35.70611,261
"AT",56.31346,323
"AV",31.9167,973
"BA",28.49053,2165
"BG",32.43375,1353
"BI",45.39558,151
"BL",58.02639,196
"BN",41.19039,439
"BO",31.42506,4006
"BR",30.60511,675
"BS",21.91042,2388
"BT",26.89362,469
"BZ",41.76645,1225
"CA",48.55597,718
"CB",54.77086,163
"CE",95.59812,2274
"CH",26.12407,820
"CI",48.29444,0
"CL",97.16392,1442
"CN",50.45587,828
"CO",14.82184,359
"CR",24.78064,542
"CS",58.46881,806
"CT",46.8759,2388
"CZ",106.7124,1168
"EN",81.73428,289
"FC",33.52476,663
"FE",28.99271,255
"FG",33.30267,2865
"FI",46.09107,1880
"FM",20.10741,286
"FR",60.77669,343
"GE",39.7361,741
"GO",33.11711,191
"GR",43.05881,254
"IM",33.28164,440
"IS",42.85216,79
"KR",191.4955,1088
"LC",61.71545,758
"LE",123.2134,2210
"LI",54.81094,62
"LO",33.90115,67
"LT",51.45323,618
"LU",19.21321,351
"MB",46.42292,4798
"MC",26.55654,446
"ME",47.65386,1254
"MI",37.55899,208799
"MN",18.96129,465
"MO",38.27744,778
"MS",57.54193,191
"MT",56.81491,182
"NA",87.00364,13187
"NO",35.97146,408
"NU",81.58807,295
"OG",399.8448,173
"OR",34.37917,219
"PA",42.03972,2726
"PC",29.84641,1007
"PD",28.25606,8731
"PE",51.03864,301
"PG",42.80181,914
"PI",30.6546,568
"PN",39.04441,319
"PO",54.32347,45
"PR",75.55904,743
"PT",44.73638,47
"PU",52.7724,758
"PV",26.63476,1605
"PZ",18.54455,642
"RA",52.71432,247
"RC",46.8144,607
"RE",48.93827,372
"RG",43.54522,526
"RI",23.19603,160
"RM",14.64786,34659
"RN",23.44708,2132
"RO",39.62961,163
"SA",55.19589,1287
"SI",37.39547,459
"SO",74.06554,233
"SP",21.08939,221
"SR",66.09147,367
"SS",66.16426,665
"SU",55.22013,136
"SV",54.65949,241
"TA",59.48383,808
"TE",28.63402,414
"TN",33.42865,1367
"TO",39.61757,3525
"TP",56.40254,696
"TR",33.97999,300
"TS",51.98912,404
"TV",30.91372,1494
"UD",21.79574,671
"VA",16.71573,727
"VB",50.36766,60
"VC",60.73902,126
"VE",38.37759,1301
"VI",29.05573,1984
"VR",22.76746,811
"VS",57.96558,14
"VT",68.67855,193
"VV",80.43099,262
